time,envio_n,lat,lon,pm25,pm1,pm10,temp_pms,hum,vbat,csq,sats,speed_kmh
2025-09-16T02:59:45,22.0,-33.457817,-70.63044,4.0,2.0,4.0,34.5,28.4,4.165,22.0,6.0,0.0
2025-09-16T02:59:48,23.0,-33.457821,-70.630424,3.0,1.0,3.0,34.5,28.2,4.089,22.0,5.0,0.0
2025-09-16T02:59:51,24.0,-33.457817,-70.630424,5.0,3.0,5.0,34.75,28.1,3.944,22.0,5.0,0.0
2025-09-16T02:59:54,25.0,-33.457817,-70.630424,4.0,2.0,4.0,34.5,28.3,3.946,22.0,7.0,0.0
2025-09-16T02:59:57,26.0,-33.457813,-70.630424,4.0,2.0,4.0,34.75,28.1,3.926,22.0,7.0,0.0
2025-09-16T03:00:00,27.0,-33.457813,-70.630424,4.0,2.0,4.0,34.75,28.2,3.979,22.0,7.0,0.0
2025-09-16T03:00:03,28.0,-33.457813,-70.630424,3.0,1.0,3.0,34.5,28.2,4.004,21.0,7.0,0.0
2025-09-16T03:00:06,29.0,-33.457813,-70.630424,5.0,3.0,5.0,34.75,28.1,4.004,21.0,7.0,0.0
2025-09-16T03:00:09,30.0,-33.457813,-70.630424,4.0,2.0,4.0,34.5,28.1,4.024,22.0,7.0,0.0
2025-09-16T03:00:12,31.0,-33.457813,-70.630424,5.0,3.0,5.0,34.75,28.1,3.75,22.0,6.0,0.0
2025-09-16T03:00:15,32.0,-33.457813,-70.630424,5.0,2.0,5.0,34.75,28.1,3.85,22.0,5.0,0.0
2025-09-16T03:00:18,33.0,-33.457813,-70.630424,4.0,1.0,4.0,34.5,28.0,3.121,22.0,6.0,0.0
2025-09-16T03:00:21,34.0,-33.457813,-70.630424,4.0,1.0,4.0,34.75,28.1,3.583,23.0,8.0,0.0
2025-09-16T03:00:24,35.0,-33.457813,-70.630424,5.0,2.0,5.0,34.75,27.9,4.237,23.0,7.0,0.0
2025-09-16T03:00:27,36.0,-33.457813,-70.630424,4.0,1.0,4.0,34.75,28.1,4.163,21.0,6.0,0.0
2025-09-16T03:00:30,37.0,-33.457813,-70.630424,4.0,1.0,4.0,34.75,28.0,4.135,21.0,7.0,0.0
2025-09-16T03:00:33,38.0,-33.457813,-70.630424,5.0,2.0,5.0,34.75,28.0,3.983,21.0,7.0,0.0
2025-09-16T03:00:36,39.0,-33.457813,-70.630424,4.0,1.0,4.0,34.75,28.1,3.948,21.0,6.0,0.0
2025-09-16T03:00:39,40.0,-33.457813,-70.630424,4.0,2.0,5.0,34.75,28.3,4.122,22.0,6.0,0.0
2025-09-16T03:00:42,41.0,-33.457809,-70.630424,3.0,1.0,4.0,34.75,28.0,4.0,22.0,6.0,0.0
2025-09-16T03:00:45,42.0,-33.457809,-70.630424,4.0,2.0,4.0,34.75,28.2,3.835,26.0,6.0,0.0
2025-09-16T03:00:48,43.0,-33.457809,-70.630424,3.0,1.0,4.0,34.75,27.9,3.911,26.0,6.0,0.0
2025-09-16T03:00:51,44.0,-33.457806,-70.630424,3.0,2.0,4.0,34.75,28.1,3.705,22.0,7.0,0.0
2025-09-16T03:00:54,45.0,-33.457806,-70.630424,5.0,3.0,5.0,34.75,28.0,4.013,22.0,7.0,0.0
2025-09-16T03:00:57,46.0,-33.457806,-70.630424,5.0,4.0,5.0,34.75,28.0,4.028,25.0,7.0,0.0
2025-09-16T03:01:00,47.0,-33.457806,-70.630424,5.0,3.0,5.0,34.75,27.9,4.031,25.0,7.0,0.0
2025-09-16T03:01:03,48.0,-33.457806,-70.630424,5.0,3.0,5.0,34.75,28.1,4.081,24.0,6.0,0.0
2025-09-16T03:01:06,49.0,-33.457806,-70.630424,3.0,2.0,3.0,34.75,28.0,3.944,24.0,7.0,0.0
2025-09-16T03:01:09,50.0,-33.457806,-70.630424,5.0,3.0,5.0,34.75,28.0,4.092,24.0,7.0,0.0
2025-09-16T03:01:12,51.0,-33.457806,-70.630424,4.0,2.0,4.0,34.75,28.0,4.002,24.0,5.0,0.0
2025-09-16T03:01:15,52.0,-33.457806,-70.630424,5.0,3.0,5.0,34.75,28.0,3.827,22.0,6.0,0.0
2025-09-16T03:01:18,53.0,-33.457806,-70.630424,4.0,2.0,4.0,34.75,28.1,4.076,22.0,6.0,0.0
2025-09-16T03:01:21,54.0,-33.457806,-70.630424,5.0,3.0,5.0,34.75,28.0,4.004,24.0,6.0,0.0
2025-09-16T03:01:24,55.0,-33.457802,-70.63044,5.0,3.0,5.0,34.75,28.0,3.983,24.0,6.0,1.0
2025-09-16T03:01:27,56.0,-33.457764,-70.630493,4.0,2.0,4.0,34.75,27.8,4.102,22.0,8.0,0.0
2025-09-16T03:01:30,57.0,-33.457752,-70.630501,4.0,2.0,4.0,34.75,28.0,4.133,22.0,8.0,0.0
