fecha,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],Metadatos Estacion [ID (String)],Metadatos Estacion [Latitud (°)],Metadatos Estacion [Longitud (°)],Metadatos Estacion [Numero de envios (Numeral)],Metadatos Estacion [Registro SD (Bool)],PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 1.0 (µg/m³)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SIM7600G [Intensidad señal telefónica (Adimensional)],SIM7600G [Latitud (°)],SIM7600G [Longitud (°)],SIM7600G [Satelites (int)],SIM7600G [Velocidad_km/h (km/h)],id_dato_concatenado
2025-09-20T12:41:55,Sin sesión,,,,18,HIRIPRO-01,,33.25,0.0,1.0,-33.431107,-70.603439,1437.0,1.0,25.8,30.1,0.0,0.0,0.0,28.0,-33.431107,-70.603439,8.0,0.0,"9140722, 9140723, 9140724, 9140725, 9140726, 9140727, 9140728, 9140729, 9140730, 9140731, 9140732, 9140733, 9140734, 9140735, 9140736, 9140737, 9140738"
2025-09-20T12:41:52,Sin sesión,,,,18,HIRIPRO-01,,33.25,0.0,1.0,-33.43111,-70.603439,1436.0,1.0,25.9,30.1,0.0,1.0,1.0,28.0,-33.43111,-70.603439,9.0,2.0,"9140705, 9140706, 9140707, 9140708, 9140709, 9140710, 9140711, 9140712, 9140713, 9140714, 9140715, 9140716, 9140717, 9140718, 9140719, 9140720, 9140721"
2025-09-20T12:41:49,Sin sesión,,,,18,HIRIPRO-01,,33.25,0.0,1.0,-33.431095,-70.603439,1435.0,1.0,25.9,30.5,1.0,2.0,2.0,28.0,-33.431095,-70.603439,9.0,3.9,"9140688, 9140689, 9140690, 9140691, 9140692, 9140693, 9140694, 9140695, 9140696, 9140697, 9140698, 9140699, 9140700, 9140701, 9140702, 9140703, 9140704"
2025-09-20T12:41:46,Sin sesión,,,,18,HIRIPRO-01,,33.25,0.0,1.0,-33.431084,-70.603432,1434.0,1.0,25.9,30.5,1.0,2.0,2.0,28.0,-33.431084,-70.603432,9.0,0.0,"9140671, 9140672, 9140673, 9140674, 9140675, 9140676, 9140677, 9140678, 9140679, 9140680, 9140681, 9140682, 9140683, 9140684, 9140685, 9140686, 9140687"
2025-09-20T12:41:43,Sin sesión,,,,18,HIRIPRO-01,,33.0,0.0,1.0,-33.431087,-70.603432,1433.0,1.0,25.8,30.7,1.0,2.0,2.0,28.0,-33.431087,-70.603432,9.0,1.3,"9140654, 9140655, 9140656, 9140657, 9140658, 9140659, 9140660, 9140661, 9140662, 9140663, 9140664, 9140665, 9140666, 9140667, 9140668, 9140669, 9140670"
2025-09-20T12:41:39,Sin sesión,,,,18,HIRIPRO-01,,33.25,0.0,1.0,-33.431084,-70.603439,1432.0,1.0,25.9,31.0,0.0,1.0,1.0,28.0,-33.431084,-70.603439,9.0,0.0,"9140605, 9140606, 9140607, 9140608, 9140609, 9140610, 9140611, 9140612, 9140613, 9140614, 9140615, 9140616, 9140617, 9140618, 9140619, 9140620, 9140621"
2025-09-20T12:41:37,Sin sesión,,,,18,HIRIPRO-01,,33.25,0.0,1.0,-33.431084,-70.603439,1431.0,1.0,25.9,30.9,1.0,2.0,2.0,28.0,-33.431084,-70.603439,9.0,0.0,"9140588, 9140589, 9140590, 9140591, 9140592, 9140593, 9140594, 9140595, 9140596, 9140597, 9140598, 9140599, 9140600, 9140601, 9140602, 9140603, 9140604"
2025-09-20T12:41:34,Sin sesión,,,,18,HIRIPRO-01,,33.0,0.0,1.0,-33.431084,-70.603439,1430.0,1.0,25.9,30.9,0.0,2.0,2.0,28.0,-33.431084,-70.603439,8.0,0.0,"9140571, 9140572, 9140573, 9140574, 9140575, 9140576, 9140577, 9140578, 9140579, 9140580, 9140581, 9140582, 9140583, 9140584, 9140585, 9140586, 9140587"
2025-09-20T12:41:30,Sin sesión,,,,18,HIRIPRO-01,,33.25,0.0,1.0,-33.431084,-70.603439,1429.0,1.0,25.9,31.0,1.0,3.0,3.0,28.0,-33.431084,-70.603439,8.0,0.0,"9140554, 9140555, 9140556, 9140557, 9140558, 9140559, 9140560, 9140561, 9140562, 9140563, 9140564, 9140565, 9140566, 9140567, 9140568, 9140569, 9140570"
2025-09-20T12:41:27,Sin sesión,,,,18,HIRIPRO-01,,33.25,0.0,1.0,-33.431084,-70.603439,1428.0,1.0,25.9,30.8,0.0,2.0,2.0,28.0,-33.431084,-70.603439,8.0,0.0,"9140537, 9140538, 9140539, 9140540, 9140541, 9140542, 9140543, 9140544, 9140545, 9140546, 9140547, 9140548, 9140549, 9140550, 9140551, 9140552, 9140553"
2025-09-20T12:41:24,Sin sesión,,,,18,HIRIPRO-01,,33.25,0.0,1.0,-33.431084,-70.603439,1427.0,1.0,25.9,30.9,0.0,2.0,2.0,28.0,-33.431084,-70.603439,7.0,0.0,"9140520, 9140521, 9140522, 9140523, 9140524, 9140525, 9140526, 9140527, 9140528, 9140529, 9140530, 9140531, 9140532, 9140533, 9140534, 9140535, 9140536"
2025-09-20T12:41:21,Sin sesión,,,,18,HIRIPRO-01,,33.25,0.0,1.0,-33.431084,-70.603439,1426.0,1.0,25.9,30.9,0.0,2.0,2.0,28.0,-33.431084,-70.603439,6.0,0.0,"9140503, 9140504, 9140505, 9140506, 9140507, 9140508, 9140509, 9140510, 9140511, 9140512, 9140513, 9140514, 9140515, 9140516, 9140517, 9140518, 9140519"
2025-09-20T12:41:18,Sin sesión,,,,18,HIRIPRO-01,,33.25,0.0,1.0,-33.431084,-70.603439,1425.0,1.0,25.9,30.8,1.0,3.0,3.0,28.0,-33.431084,-70.603439,8.0,0.0,"9140486, 9140487, 9140488, 9140489, 9140490, 9140491, 9140492, 9140493, 9140494, 9140495, 9140496, 9140497, 9140498, 9140499, 9140500, 9140501, 9140502"
2025-09-20T12:41:15,Sin sesión,,,,18,HIRIPRO-01,,33.25,0.0,1.0,-33.431084,-70.603439,1424.0,1.0,25.9,30.8,0.0,2.0,2.0,31.0,-33.431084,-70.603439,9.0,0.0,"9140469, 9140470, 9140471, 9140472, 9140473, 9140474, 9140475, 9140476, 9140477, 9140478, 9140479, 9140480, 9140481, 9140482, 9140483, 9140484, 9140485"
2025-09-20T12:41:12,Sin sesión,,,,18,HIRIPRO-01,,33.25,0.0,1.0,-33.431084,-70.603439,1423.0,1.0,25.9,30.9,1.0,2.0,2.0,31.0,-33.431084,-70.603439,8.0,0.0,"9140452, 9140453, 9140454, 9140455, 9140456, 9140457, 9140458, 9140459, 9140460, 9140461, 9140462, 9140463, 9140464, 9140465, 9140466, 9140467, 9140468"
2025-09-20T12:41:09,Sin sesión,,,,18,HIRIPRO-01,,33.25,0.0,1.0,-33.431087,-70.603439,1422.0,1.0,25.9,30.7,0.0,1.0,1.0,31.0,-33.431087,-70.603439,8.0,1.6,"9140435, 9140436, 9140437, 9140438, 9140439, 9140440, 9140441, 9140442, 9140443, 9140444, 9140445, 9140446, 9140447, 9140448, 9140449, 9140450, 9140451"
